Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
01039,1129.0,54.6,80000.0,49565.0,85.0,7.528786536758193,4.694419840566874
01040,40362.0,35.2,37954.0,22625.0,11228.0,27.818244883801597,4.650413755512611
01050,2334.0,43.7,68869.0,31233.0,165.0,7.069408740359897,0.9854327335047129
01053,1658.0,53.2,62222.0,31413.0,309.0,18.636911942098916,1.5681544028950543
01054,1997.0,50.9,87174.0,46486.0,120.0,6.009013520280421,2.0030045067601403
01056,21331.0,44.4,67715.0,33247.0,1195.0,5.602175237916647,2.836247714593784
01057,8801.0,46.3,78986.0,35989.0,501.0,5.692534939211453,3.8404726735598227
01060,15729.0,34.3,57485.0,36152.0,1962.0,12.473774556551593,3.178841630109988
01062,10587.0,45.2,73438.0,38373.0,1485.0,14.026636440918107,3.5042977236233117
01063,574.0,20.5,-666666666.0,3532.0,0.0,0.0,4.181184668989547
01066,9.0,-666666666.0,-666666666.0,,0.0,0.0,0.0
01068,1849.0,46.7,85938.0,35289.0,70.0,3.785830178474851,2.8123309897241753
01069,8919.0,47.1,59211.0,32833.0,632.0,7.085996187913443,3.9354187689202824
01070,637.0,50.2,57000.0,30342.0,51.0,8.006279434850864,3.1397174254317113
01071,1206.0,47.9,67132.0,32683.0,54.0,4.477611940298507,2.3217247097844114
01072,1490.0,45.6,72000.0,36574.0,182.0,12.21476510067114,3.2885906040268456
01073,6090.0,46.4,89423.0,44641.0,278.0,4.564860426929393,3.464696223316913
01074,477.0,33.7,61603.0,18494.0,0.0,0.0,0.0
01075,17755.0,40.3,66681.0,32046.0,1602.0,9.022810475922276,3.5651929034074907
01077,9711.0,46.6,76737.0,38002.0,697.0,7.17742765935537,2.5435073627844713
01079,480.0,46.3,27105.0,31721.0,55.0,11.458333333333334,0.0
01080,2532.0,32.7,49844.0,23355.0,846.0,33.41232227488152,4.85781990521327
01081,1827.0,43.7,50465.0,26913.0,94.0,5.145046524356869,2.134646962233169
01082,10637.0,41.8,51768.0,27830.0,1429.0,13.434238977155212,4.202312682147222
01083,3182.0,36.9,65547.0,24012.0,290.0,9.113764927718416,2.545568824638592
01084,183.0,53.6,90625.0,43879.0,0.0,0.0,3.8251366120218577
01085,41652.0,39.1,62423.0,29630.0,3252.0,7.807548256986459,3.4860270815326997
01086,683.0,19.0,-666666666.0,2892.0,0.0,0.0,0.0
01088,399.0,53.3,51406.0,32106.0,32.0,8.020050125313283,4.010025062656641
01089,28671.0,39.2,51735.0,29344.0,3453.0,12.043528303861045,4.14355969446479
01092,1133.0,47.0,75799.0,33033.0,172.0,15.180935569285085,3.265666372462489
01093,348.0,52.6,103750.0,54538.0,21.0,6.0344827586206895,0.0
01094,327.0,54.6,21250.0,32228.0,29.0,8.868501529051988,0.0
01095,14659.0,47.2,104128.0,45406.0,573.0,3.9088614503035677,2.073811310457739
01096,2607.0,44.3,77083.0,36844.0,214.0,8.20866896816264,3.0303030303030303
01097,54.0,17.1,-666666666.0,9161.0,40.0,74.07407407407408,0.0
01098,1186.0,50.4,76563.0,43006.0,87.0,7.335581787521079,0.8431703204047217
